"lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"dig_x_stedu","~~","dig_x_stedu","",2.2074220901567,0,NA,NA,2.2074220901567,2.2074220901567
"dig_x_stedu","~~","stedu","",0.401068803798924,0,NA,NA,0.401068803798924,0.401068803798924
"dig_x_stedu","~~","female","",-0.070074741399748,0,NA,NA,-0.070074741399748,-0.070074741399748
"dig_x_stedu","~~","intimate","",0.111773419298718,0,NA,NA,0.111773419298718,0.111773419298718
"dig_x_stedu","~~","severe_coharm","",0.185619989982193,0,NA,NA,0.185619989982193,0.185619989982193
"dig_x_stedu","~~","freq_ord_z","",0.354560501598797,0,NA,NA,0.354560501598797,0.354560501598797
"dig_x_stedu","~~","victim_blaming_z","",0.324145151274288,0,NA,NA,0.324145151274288,0.324145151274288
"dig_x_stedu","~~","crime_denial_z","",0.495816941875926,0,NA,NA,0.495816941875926,0.495816941875926
"dig_x_stedu","~~","fear_z","",0.0954469474260532,0,NA,NA,0.0954469474260532,0.0954469474260532
"dig_x_stedu","~~","ser_x_stedu","",0.309527819640919,0,NA,NA,0.309527819640919,0.309527819640919
"stedu","~~","stedu","",0.249999554367996,0,NA,NA,0.249999554367996,0.249999554367996
"stedu","~~","female","",-0.0363100957039292,0,NA,NA,-0.0363100957039292,-0.0363100957039292
"stedu","~~","intimate","",0.0197611055951772,0,NA,NA,0.0197611055951772,0.0197611055951772
"stedu","~~","severe_coharm","",0.0410302298926383,0,NA,NA,0.0410302298926383,0.0410302298926383
"stedu","~~","freq_ord_z","",0.0517327323954104,0,NA,NA,0.0517327323954104,0.0517327323954104
"stedu","~~","victim_blaming_z","",0.0866722934590976,0,NA,NA,0.0866722934590976,0.0866722934590976
"stedu","~~","crime_denial_z","",0.103332787210217,0,NA,NA,0.103332787210217,0.103332787210217
"stedu","~~","fear_z","",-0.0212930619470934,0,NA,NA,-0.0212930619470934,-0.0212930619470934
"stedu","~~","ser_x_stedu","",0.0634722611545702,0,NA,NA,0.0634722611545702,0.0634722611545702
"female","~~","female","",0.238448772818587,0,NA,NA,0.238448772818587,0.238448772818587
"female","~~","intimate","",-0.0213243826659846,0,NA,NA,-0.0213243826659846,-0.0213243826659846
"female","~~","severe_coharm","",-0.00907128507792321,0,NA,NA,-0.00907128507792321,-0.00907128507792321
