"outcome","model","term","estimate","std.error","z","p.value","OR","OR_lo","OR_hi","p_fdr_BH","p_holm"
"institutional_response","logit_HC3","female",-0.20583557900362,0.243879575817296,-0.84400499022445,0.398666617060647,0.813966898529502,0.504675541836593,1.31280804591925,0.761323478602876,1
"institutional_response","logit_HC3","age_cat10s",-1.45230932287986,0.790438771816091,-1.83734575613374,0.0661588691333926,0.234029214557776,0.0497089980173676,1.10180602005685,0.249933505615039,1
"institutional_response","logit_HC3","age_cat30s",-0.642066682812473,0.321105357792962,-1.99955144699409,0.0455487212478171,0.526203803157642,0.280429426645686,0.987380125436728,0.221236646060826,1
"institutional_response","logit_HC3","age_cat40s",-0.71744476795877,0.383986740524556,-1.86841026588232,0.0617049072391459,0.487997611328913,0.229911970704862,1.03579499550472,0.249933505615039,1
"institutional_response","logit_HC3","age_cat50s",-0.670300629874226,0.396746604635381,-1.68949304680313,0.0911249832349108,0.511554766022526,0.235057767720495,1.11329347325179,0.284761142360612,1
"institutional_response","logit_HC3","age_cat60s",-0.513875234290838,0.401434031404821,-1.28009883091508,0.200510379782474,0.598173020888383,0.272344917807998,1.31381545798108,0.524411762508008,1
"institutional_response","logit_HC3","college",-0.111184432050419,0.356800924130639,-0.311614753580935,0.755333320440428,0.894773708760383,0.444629359732697,1.80064580164056,0.981405417166013,1
"institutional_response","logit_HC3","married",0.240171560211947,0.297311510426951,0.80781117376536,0.419199291744338,1.27146726480442,0.709951230867575,2.27709867267035,0.761323478602876,1
"institutional_response","logit_HC3","employed",-0.183893140432233,0.374982504391905,-0.490404587623217,0.623847631007443,0.832024708877171,0.398974071050242,1.73511304722097,0.955702850440268,1
"institutional_response","logit_HC3","one_person",0.0139961540807687,0.321414050096328,0.043545557751984,0.965266649111848,1.01409455880523,0.540113819864172,1.90402047934449,0.981405417166013,1
"institutional_response","logit_HC3","disability",-0.0624954125201535,0.474563759200948,-0.131690234048594,0.895229310340677,0.939417372361854,0.37059688125731,2.38130714025766,0.981405417166013,1
"institutional_response","logit_HC3","own_victim",0.0717244291169118,0.31949966906872,0.224489838521506,0.822376172848787,1.07435924114218,0.574362285554251,2.00961624406409,0.981405417166013,1
"institutional_response","logit_HC3","victim_blaming_z",0.026444974679771,0.159586672301953,0.165709167929353,0.868385830846845,1.02679774583242,0.751003547872025,1.40387300943376,0.981405417166013,1
"institutional_response","logit_HC3","crime_denial_z",-0.0367814047162002,0.157919027952777,-0.232913064328126,0.815828913539151,0.96388681343313,0.707298355838183,1.3135585307692,0.981405417166013,1
"institutional_response","logit_HC3","stereotype_z",-0.262589608568837,0.122695190893912,-2.14017849155868,0.0323403446844307,0.769057447143637,0.60467014608242,0.97813553528153,0.183261953211774,0.968343270548984
"institutional_response","logit_HC3","fear_z",0.0521706482218156,0.17892734869326,0.291574477590082,0.770611991810409,1.05355551454918,0.741910283227914,1.49610976870098,0.981405417166013,1
