"variable","contrast","diff","lwr","upr","p_adj_Tukey"
"stereotype","Life_threat_protective-Network_oriented_prevention",0.229,-0.185,0.642,0.553
"stereotype","Boundary_clarification-Network_oriented_prevention",0.03,-0.371,0.432,1
"stereotype","Multi_action_institutional-Network_oriented_prevention",-0.118,-0.554,0.318,0.946
"stereotype","Life_threat_protective-Escalation_aware_mixed",0.085,-0.265,0.434,0.964
"stereotype","Boundary_clarification-Escalation_aware_mixed",-0.114,-0.449,0.222,0.887
"stereotype","Multi_action_institutional-Escalation_aware_mixed",-0.262,-0.638,0.114,0.315
"stereotype","Boundary_clarification-Life_threat_protective",-0.198,-0.57,0.173,0.589
"stereotype","Multi_action_institutional-Life_threat_protective",-0.347,-0.755,0.062,0.139
"stereotype","Multi_action_institutional-Boundary_clarification",-0.149,-0.545,0.248,0.844
"fear","Escalation_aware_mixed-Network_oriented_prevention",-0.091,-0.376,0.194,0.907
"fear","Life_threat_protective-Network_oriented_prevention",0.095,-0.214,0.404,0.918
"fear","Boundary_clarification-Network_oriented_prevention",0.118,-0.182,0.419,0.818
"fear","Multi_action_institutional-Network_oriented_prevention",0.273,-0.053,0.599,0.15
"fear","Life_threat_protective-Escalation_aware_mixed",0.186,-0.076,0.447,0.295
"fear","Boundary_clarification-Escalation_aware_mixed",0.209,-0.042,0.46,0.153
"fear","Multi_action_institutional-Escalation_aware_mixed",0.364,0.082,0.645,0.00402
"fear","Boundary_clarification-Life_threat_protective",0.024,-0.254,0.301,0.999
"fear","Multi_action_institutional-Life_threat_protective",0.178,-0.128,0.484,0.501
"fear","Multi_action_institutional-Boundary_clarification",0.155,-0.142,0.451,0.612
"cjs_distrust","Escalation_aware_mixed-Network_oriented_prevention",-0.401,-0.763,-0.039,0.0216
"cjs_distrust","Life_threat_protective-Network_oriented_prevention",-0.337,-0.729,0.056,0.132
"cjs_distrust","Boundary_clarification-Network_oriented_prevention",-0.048,-0.43,0.333,0.997
"cjs_distrust","Multi_action_institutional-Network_oriented_prevention",0.06,-0.354,0.474,0.995
"cjs_distrust","Life_threat_protective-Escalation_aware_mixed",0.064,-0.268,0.396,0.984
"cjs_distrust","Boundary_clarification-Escalation_aware_mixed",0.352,0.033,0.671,0.022
"cjs_distrust","Multi_action_institutional-Escalation_aware_mixed",0.461,0.103,0.818,0.00413
"cjs_distrust","Boundary_clarification-Life_threat_protective",0.288,-0.065,0.641,0.168
"cjs_distrust","Multi_action_institutional-Life_threat_protective",0.397,0.009,0.785,0.0422
"cjs_distrust","Multi_action_institutional-Boundary_clarification",0.108,-0.268,0.485,0.934
"gender_awareness","Escalation_aware_mixed-Network_oriented_prevention",-0.271,-0.626,0.085,0.228
"gender_awareness","Life_threat_protective-Network_oriented_prevention",-0.217,-0.602,0.168,0.533
"gender_awareness","Boundary_clarification-Network_oriented_prevention",0.032,-0.342,0.407,0.999
"gender_awareness","Multi_action_institutional-Network_oriented_prevention",0.242,-0.164,0.648,0.477
"gender_awareness","Life_threat_protective-Escalation_aware_mixed",0.053,-0.272,0.379,0.992
"gender_awareness","Boundary_clarification-Escalation_aware_mixed",0.303,-0.01,0.616,0.0629
"gender_awareness","Multi_action_institutional-Escalation_aware_mixed",0.513,0.162,0.863,0.000679
"gender_awareness","Boundary_clarification-Life_threat_protective",0.25,-0.096,0.596,0.28
"gender_awareness","Multi_action_institutional-Life_threat_protective",0.459,0.079,0.84,0.00895
"gender_awareness","Multi_action_institutional-Boundary_clarification",0.21,-0.16,0.579,0.528
"gender_hierarchy","Escalation_aware_mixed-Network_oriented_prevention",0.32,0.019,0.622,0.031
"gender_hierarchy","Life_threat_protective-Network_oriented_prevention",0.435,0.108,0.762,0.00271
"gender_hierarchy","Boundary_clarification-Network_oriented_prevention",0.284,-0.034,0.601,0.105
"gender_hierarchy","Multi_action_institutional-Network_oriented_prevention",0.329,-0.015,0.674,0.0691
"gender_hierarchy","Life_threat_protective-Escalation_aware_mixed",0.115,-0.162,0.391,0.786
"gender_hierarchy","Boundary_clarification-Escalation_aware_mixed",-0.036,-0.302,0.229,0.996
"gender_hierarchy","Multi_action_institutional-Escalation_aware_mixed",0.009,-0.288,0.307,1
"gender_hierarchy","Boundary_clarification-Life_threat_protective",-0.151,-0.445,0.142,0.621
"gender_hierarchy","Multi_action_institutional-Life_threat_protective",-0.106,-0.429,0.217,0.898
"gender_hierarchy","Multi_action_institutional-Boundary_clarification",0.046,-0.268,0.359,0.995
"support_awareness","Escalation_aware_mixed-Network_oriented_prevention",-0.034,-0.943,0.874,1
"support_awareness","Life_threat_protective-Network_oriented_prevention",0.289,-0.696,1.273,0.93
"support_awareness","Boundary_clarification-Network_oriented_prevention",0.32,-0.637,1.277,0.891
"support_awareness","Multi_action_institutional-Network_oriented_prevention",1.018,-0.02,2.057,0.0578
