"item1","item2","label1","label2","n_pair","bvr_chisq","p_value","max_abs_std_resid","p_fdr_BH","flag_bvr_gt_3_84"
"Q41_4","Q41_6","Life threat","Prevent another harm",501,0.0268900442087345,0.869745439002739,0.148234529712074,0.935919911486298,FALSE
"Q40_3","Q41_1","Job/school exit","Not romance",501,0.0246748432971797,0.875180001192985,0.123409364441051,0.935919911486298,FALSE
"Q40_2","Q41_6","Persuade","Prevent another harm",501,0.0229561228011817,0.879571229459777,0.12866018731757,0.935919911486298,FALSE
"Q41_1","Q41_6","Not romance","Prevent another harm",501,0.0215485206180855,0.883294507277028,0.115269299758297,0.935919911486298,FALSE
"Q40_5","Q41_4","School/work help","Life threat",501,0.0201167113815647,0.887211606864467,0.100740433196781,0.935919911486298,FALSE
"Q40_2","Q41_5","Persuade","Daily disruption",501,0.0184715782554656,0.891892284106678,0.107254355955936,0.935919911486298,FALSE
"Q40_7","Q41_4","Police","Life threat",501,0.0177159316706589,0.894113339506749,0.097522723977196,0.935919911486298,FALSE
"Q41_1","Q41_3","Not romance","Others harmed",501,0.0174990353588993,0.894759725973336,0.099209178144243,0.935919911486298,FALSE
"Q40_4","Q40_7","Shelter/move","Police",501,0.0174920621491253,0.89478057471767,0.10767696779462,0.935919911486298,FALSE
"Q40_1","Q40_3","Confront","Job/school exit",501,0.0103496043533614,0.918968603662094,0.083172003860003,0.950297078786938,FALSE
"Q41_2","Q41_4","Escalation","Life threat",501,0.00699340236789305,0.933353345124568,0.0575832113997086,0.954327577599278,FALSE
"Q40_4","Q41_6","Shelter/move","Prevent another harm",501,0.00140258881531986,0.9701252875434,0.0343877676652072,0.972932964199358,FALSE
"Q40_3","Q41_2","Job/school exit","Escalation",501,0.00115124542893331,0.972932964199358,0.02300730576684,0.972932964199358,FALSE
